574.6667,609.3333,3
617.3333,621.3333,3
537.3333,558.6667,3
621.3333,621.3333,4
664,537.3333,4
672,521.3333,5
650.6667,636,5
628,660,6
666.6667,648,6
660,514.6667,6
626.6667,662.6667,7
685.3333,658.6667,7
650.6667,474.6667,7
701.3333,574.6667,7
685.3333,520,7
464,485.3333,8
665.3333,469.3333,8
704,572,8
694.6667,665.3333,8
625.3333,653.3333,8
706.6667,676,9
689.3333,477.3333,9
716,668,9
688,468,9
696,464,10
448,458.6667,10
669.3333,428,11
698.6667,461.3333,11
728,672,11
433.3333,452,11
698.6667,698.6667,12
733.3333,676,12
742.6667,638.6667,12
696,466.6667,12
498.6667,545.3333,12
418.6667,452,12
434.6667,436,12
609.3333,320,12
628,346.6667,12
697.3333,708,13
756,637.3333,13
664,693.3333,13
624,380,13
760,660,14
714.6667,481.3333,14
562.6667,446.6667,14
677.3333,721.3334,14
712,476,15
762.6667,649.3333,15
661.3333,726.6667,15
650.6667,416,15
577.3333,450.6667,15
718.6667,472,16
648,413.3333,16
760,653.3333,16
656,728,16
712,720,16
636,613.3333,16
578.6667,466.6667,16
645.3333,426.6667,17
672,444,17
714.6667,477.3333,17
748,569.3333,17
753.3333,598.6667,17
636,621.3333,17
658.6667,733.3334,17
594.6667,474.6667,17
664,434.6667,18
710.6667,478.6667,18
730.6667,497.3333,18
738.6667,537.3333,18
754.6667,578.6667,18
746.6667,685.3333,18
729.3333,698.6666,18
682.6667,717.3334,18
662.6667,728,18
640,616,18
606.6667,472,18
649.3333,422.6667,19
728,494.6667,19
748,572,19
726.6667,697.3334,19
686.6667,714.6666,19
672,714.6666,19
614.6667,446.6667,19
612,478.6667,19
722.6667,494.6667,20
744,513.3333,20
704,464,20
660,420,20
729.3333,694.6666,20
696,704,20
633.3333,608,20
760,586.6667,20
748,512,21
696,466.6667,21
690.6667,434.6667,21
660,424,21
725.3333,701.3334,21
634.6667,604,21
636,437.3333,22
665.3333,433.3333,22
693.3333,433.3333,22
753.3333,513.3333,22
773.3333,600,22
716,693.3334,22
672,693.3334,22
642.6667,693.3334,22
636,626.6667,22
638.6667,440,23
658.6667,437.3333,23
690.6667,454.6667,23
753.3333,545.3333,23
778.6667,604,23
640,692,23
633.3333,602.6667,23
640,693.3333,24
732,686.6667,24
773.3333,600,24
734.6667,510.6667,24
670.6667,434.6667,24
632,437.3333,24
692,444,25
722.6667,477.3333,25
746.6667,518.6667,25
728,685.3333,25
693.3333,692,25
629.3333,689.3333,25
632,456,25
693.3333,449.3333,26
774.6667,572,26
736,684,26
709.3333,693.3333,26
628,693.3333,26
616,621.3333,26
641.3333,429.3333,26
696,442.6667,27
638.6667,436,27
774.6667,586.6667,27
713.3333,686.6667,27
638.6667,684,27
692,449.3333,28
724,478.6667,28
746.6667,508,28
774.6667,570.6667,28
710.6667,685.3333,28
633.3333,685.3333,28
608,577.3333,28
629.3333,464,28
644,434.6667,28
641.3333,460,29
676,458.6667,29
708,469.3333,29
768,581.3333,29
760,657.3333,29
700,693.3333,29
638.6667,682.6667,29
632,456,30
740,468,30
769.3333,589.3333,30
714.6667,686.6667,30
753.3333,658.6667,30
638.6667,674.6667,30
725.3333,482.6667,31
753.3333,540,31
764,566.6667,31
764,598.6667,31
752,649.3333,31
708,670.6667,31
629.3333,673.3333,31
625.3333,461.3333,31
632,464,32
721.3333,470.6667,32
748,506.6667,32
765.3333,568,32
754.6667,640,32
706.6667,673.3333,32
621.3333,673.3333,32
634.6667,465.3333,33
721.3333,468,33
761.3333,558.6667,33
720,676,33
628,674.6667,33
629.3333,468,34
720,484,34
632,685.3333,34
725.3333,678.6667,34
752,604,34
614.6667,596,34
628,464,35
724,469.3333,35
756,605.3333,35
722.6667,662.6667,35
625.3333,690.6667,35
684,690.6667,35
630.6667,474.6667,36
721.3333,496,36
742.6667,537.3333,36
742.6667,602.6667,36
717.3333,662.6667,36
678.6667,681.3333,36
620,690.6667,36
717.3333,504,37
738.6667,625.3333,37
688,680,37
612,693.3333,37
718.6667,496,38
625.3333,481.3333,38
744,629.3333,38
688,682.6667,38
616,690.6667,38
706.6667,505.3333,39
740,625.3333,39
677.3333,676,39
614.6667,688,39
617.3333,481.3333,39
717.3333,509.3333,40
728,600,40
618.6667,692,40
616,488,40
713.3333,520,41
717.3333,602.6667,41
622.6667,689.3333,41
616,490.6667,41
694.6667,540,42
658.6667,512,42
634.6667,505.3333,42
701.3333,596,42
601.3333,680,42
652,509.3333,43
698.6667,596,43
605.3333,506.6667,43
606.6667,669.3333,43
660,510.6667,44
598.6667,682.6667,44
666.6667,517.3333,45
666.6667,517.3333,46
660,521.3333,46
