209.3333,440,44
209.3333,440,43
221.3333,450.6667,43
225.3333,457.3333,42
225.3333,457.3333,41
226.6667,458.6667,41
190.6667,328,41
228,466.6667,40
228,466.6667,39
234.6667,464,39
178.6667,420,37
178.6667,420,36
338.6667,241.3333,36
354.6667,240,35
354.6667,240,35
184,428,35
272,473.3333,35
272,473.3333,34
189.3333,429.3333,34
364,238.6667,34
298.6667,213.3333,33
386.6667,241.3333,33
188,422.6667,33
298.6667,221.3333,32
381.3333,244,32
197.3333,418.6667,32
380,242.6667,31
270.6667,232,31
237.3333,300,30
308,214.6667,30
312,526.6667,28
422.6667,257.3333,28
326.6667,212,28
206.6667,386.6667,28
214.6667,353.3333,28
416,253.3333,27
332,213.3333,27
209.3333,380,27
309.3333,525.3333,27
413.3333,253.3333,26
209.3333,412,26
317.3333,528,26
421.3333,244,25
316,526.6666,25
414.6667,244,24
328,530.6666,24
270.6667,426.6667,24
444,246.6667,23
226.6667,414.6667,23
482.6667,244,21
509.3333,261.3333,21
248,386.6667,21
326.6667,452,21
253.3333,398.6667,20
329.3333,426.6667,20
338.6667,452,20
500,257.3333,20
480,242.6667,20
328,242.6667,20
349.3333,448,19
260,400,19
361.3333,221.3333,19
512,254.6667,19
358.6667,232,18
256,405.3333,18
354.6667,446.6667,18
316,516,18
320,509.3333,17
262.6667,409.3333,17
505.3333,258.6667,17
504,290.6667,17
492,305.3333,17
454.6667,334.6667,17
433.3333,362.6667,17
308,512,16
266.6667,425.3333,16
310.6667,494.6667,15
450.6667,473.3333,15
462.6667,404,15
493.3333,376,15
522.6667,354.6667,15
529.3333,325.3333,15
417.3333,233.3333,15
273.3333,426.6667,15
444,493.3333,14
505.3333,424,14
530.6667,378.6667,14
438.6667,253.3333,14
322.6667,497.3333,14
490.6667,442.6667,13
506.6667,438.6667,13
320,498.6667,13
460,501.3333,13
313.3333,484,12
425.3333,296,12
472,262.6667,12
630.6666,341.3333,12
326.6667,438.6667,11
416,318.6667,11
